geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000183153,-0.7883685844595644,-0.9562717429675451,-3.1487022982648036,0.008662533503891682,0.02965660111667978,-3.3716503940029288,TB,down
ENSG00000197111,0.12802084248166862,6.192506507528589,3.1479234340410067,0.008674909771975454,0.0296910626869317,-3.3730765020866267,TB,up
ENSG00000100100,-0.4666231742420731,4.07908713344703,-3.1476195498458384,0.008679743370386198,0.02969804867239863,-3.3736329100692393,TB,down
ENSG00000138757,0.16689590030553383,7.657373561045388,3.147504602968332,0.008681572429365209,0.02969804867239863,-3.373843375273876,TB,up
ENSG00000185513,-0.2102857856807759,1.8893257398857284,-3.1473004806532168,0.008684821424538462,0.02969946033401422,-3.3742171173581066,TB,down
ENSG00000117500,0.16371421091370336,8.322201312999834,3.147188340991804,0.008686606862399584,0.02969946033401422,-3.374422441095804,TB,up
ENSG00000196700,-0.4628835388311581,2.6288495696040015,-3.1463231906860463,0.008700393847528807,0.029738686629904316,-3.376006482551697,TB,down
ENSG00000182518,-0.3069854902136068,1.3395748345100722,-3.145193784297186,0.008718425205520016,0.02978539973588644,-3.378074313808181,TB,down
ENSG00000172977,0.16103441556116088,4.786503198810636,3.145176875836435,0.00871869544089673,0.02978539973588644,-3.378105271109441,TB,up
ENSG00000137038,-0.29267727444349934,3.681620410490041,-3.1436726325898343,0.008742770466440997,0.029852906070802127,-3.3808593052153073,TB,down
ENSG00000127564,-1.04389070101705,-0.5300154299688026,-3.1436519880811855,0.00874310134224239,0.029852906070802127,-3.3808971014016103,TB,down
ENSG00000186088,0.24918543826693595,7.176937167586065,3.1433812393571667,0.008747441882686205,0.029858557291615403,-3.381392789340123,TB,up
ENSG00000184939,-0.2980856652536686,3.8415235556333776,-3.1432589585742727,0.008749402953643293,0.029858557291615403,-3.381616660486229,TB,down
ENSG00000174695,-0.11336296918063184,6.744608353435084,-3.143084879238909,0.008752195505451721,0.02986015838493908,-3.3819353630864515,TB,down
