MDM.1,MDM.2,MDM.3,MDM.4,MDM.5,MDM.6,MDM.7,MDM.8,MDM.9,MDM.10,MDM.11,MDM.12,MDM.13,MDM.14,MDM.15,MDM.16
ENSG00000067334,ENSG00000163141,ENSG00000203667,ENSG00000196872,ENSG00000198130,ENSG00000114650,ENSG00000134853,ENSG00000178950,ENSG00000179144,ENSG00000112294,ENSG00000180921,ENSG00000164830,ENSG00000062370,,,
ENSG00000023909,ENSG00000143434,ENSG00000153207,ENSG00000135951,ENSG00000163535,ENSG00000225697,ENSG00000035720,ENSG00000118564,ENSG00000133561,ENSG00000187837,ENSG00000198642,ENSG00000147789,ENSG00000267508,,,
ENSG00000156875,ENSG00000143376,ENSG00000171865,ENSG00000144182,ENSG00000196290,ENSG00000178467,ENSG00000138642,ENSG00000004468,ENSG00000213203,ENSG00000180573,ENSG00000120159,ENSG00000166436,ENSG00000161640,,,
ENSG00000162695,ENSG00000143553,ENSG00000134308,ENSG00000135968,ENSG00000197713,ENSG00000185614,ENSG00000150961,ENSG00000157404,ENSG00000130021,ENSG00000158406,ENSG00000147905,ENSG00000109911,ENSG00000171649,,,
ENSG00000085491,ENSG00000143578,ENSG00000134317,ENSG00000171227,ENSG00000231672,ENSG00000114378,ENSG00000172403,ENSG00000169248,ENSG00000006757,ENSG00000206344,ENSG00000135040,ENSG00000175220,ENSG00000152475,,,
ENSG00000162636,ENSG00000143630,ENSG00000115758,ENSG00000152127,ENSG00000135905,ENSG00000114388,ENSG00000164136,ENSG00000152784,ENSG00000169239,ENSG00000223501,ENSG00000136870,ENSG00000263465,ENSG00000083838,,,
ENSG00000197780,ENSG00000163472,ENSG00000115761,ENSG00000115947,ENSG00000144535,ENSG00000041880,ENSG00000109670,ENSG00000138674,ENSG00000126010,ENSG00000095970,ENSG00000167130,ENSG00000187240,ENSG00000128268,,,
ENSG00000215717,ENSG00000132716,ENSG00000169016,ENSG00000123636,ENSG00000085982,ENSG00000248487,ENSG00000164236,ENSG00000109475,ENSG00000173681,ENSG00000112561,ENSG00000148331,ENSG00000110367,ENSG00000205593,,,
ENSG00000065135,ENSG00000122224,ENSG00000115241,ENSG00000115339,ENSG00000157985,ENSG00000168268,ENSG00000038382,ENSG00000138802,ENSG00000183337,ENSG00000024048,ENSG00000177951,ENSG00000151655,,,,
ENSG00000134202,ENSG00000143258,ENSG00000115216,ENSG00000123607,ENSG00000144504,ENSG00000016864,ENSG00000113407,ENSG00000153147,ENSG00000015285,ENSG00000170734,ENSG00000078902,ENSG00000139187,,,,
